40 100 5
0	37	50
1	37	58
2	37	15
3	37	22
4	37	50
5	37	47
6	37	54
7	37	21
8	37	26
9	37	52
10	37	51
11	37	59
12	37	26
13	37	58
14	37	33
15	37	37
16	37	26
17	37	5
18	37	47
19	37	40
20	37	20
21	37	71
22	37	65
23	37	19
24	37	58
25	37	41
26	37	74
27	37	36
28	37	50
29	37	29
30	37	20
31	37	65
32	37	29
33	37	39
34	37	35
35	37	36
36	37	33
37	38	7
37	39	31
9	10	2
14	39	2
5	28	3
6	28	3
19	33	3
34	35	3
3	23	5
16	32	6
5	6	6
9	11	6
7	16	6
1	31	7
3	29	7
10	11	7
7	32	7
17	38	8
8	34	8
27	29	8
7	12	8
12	32	8
23	30	9
15	34	9
8	35	10
8	12	10
2	7	10
2	12	11
23	29	11
15	35	12
12	16	12
20	36	13
20	38	13
8	15	13
9	25	13
18	25	13
18	27	13
2	8	13
12	35	14
21	26	14
10	25	14
0	10	14
3	30	14
12	34	14
17	23	14
17	30	15
3	27	15
20	30	15
2	32	16
0	9	16
2	16	16
7	8	16
20	39	17
25	29	17
3	17	17
22	31	17
36	39	17
14	36	17
18	29	18
19	24	18
8	32	18
2	38	18
0	11	18
