25 300 8
0	1	82
0	2	90
0	3	31
0	4	67
0	5	98
0	6	77
0	7	52
0	8	50
0	9	102
0	10	96
0	11	38
0	12	28
0	13	57
0	14	84
0	15	78
0	16	85
0	17	17
0	18	51
0	19	77
0	20	43
0	21	80
0	22	105
0	23	59
0	24	11
1	2	31
1	3	51
1	4	63
1	5	54
1	6	5
1	7	30
1	8	75
1	9	37
1	10	22
1	11	81
1	12	68
1	13	96
1	14	72
1	15	11
1	16	72
1	17	65
1	18	32
1	19	44
1	20	44
1	21	36
1	22	29
1	23	95
1	24	80
2	3	64
2	4	43
2	5	22
2	6	32
2	7	47
2	8	63
2	9	12
2	10	17
2	11	74
2	12	86
2	13	83
2	14	46
2	15	23
2	16	46
2	17	74
2	18	41
2	19	21
2	20	46
2	21	12
2	22	21
2	23	81
2	24	84
3	4	56
3	5	77
3	6	46
3	7	20
3	8	50
3	9	75
3	10	67
3	11	46
3	12	22
3	13	67
3	14	73
3	15	48
3	16	74
3	17	15
3	18	23
3	19	57
3	20	22
3	21	57
3	22	75
3	23	68
3	24	32
4	5	37
4	6	60
4	7	54
4	8	23
4	9	53
4	10	59
4	11	36
4	12	77
4	13	40
4	14	17
4	15	52
4	16	18
4	17	57
4	18	42
4	19	22
4	20	34
4	21	31
4	22	65
4	23	38
4	24	57
5	6	54
5	7	64
5	8	60
5	9	24
5	10	37
5	11	73
5	12	100
5	13	77
5	14	31
5	15	44
5	16	30
5	17	85
5	18	55
5	19	21
5	20	56
5	21	21
5	22	39
5	23	75
5	24	90
6	7	25
6	8	71
6	9	39
6	10	25
6	11	77
6	12	64
6	13	92
6	14	70
6	15	10
6	16	70
6	17	60
6	18	28
6	19	43
6	20	39
6	21	35
6	22	33
6	23	91
6	24	75
7	8	57
7	9	58
7	10	47
7	11	58
7	12	39
7	13	77
7	14	69
7	15	28
7	16	69
7	17	35
7	18	11
7	19	46
7	20	22
7	21	43
7	22	56
7	23	77
7	24	51
8	9	74
8	10	77
8	11	14
8	12	67
8	13	20
8	14	37
8	15	65
8	16	38
8	17	45
8	18	47
8	19	43
8	20	35
8	21	51
8	22	84
8	23	20
8	24	39
9	10	16
9	11	85
9	12	97
9	13	94
9	14	53
9	15	31
9	16	52
9	17	86
9	18	52
9	19	31
9	20	58
9	21	23
9	22	15
9	23	92
9	24	96
10	11	86
10	12	87
10	13	98
10	14	63
10	15	19
10	16	63
10	17	80
10	18	45
10	19	37
10	20	53
10	21	27
10	22	8
10	23	96
10	24	92
11	12	59
11	13	20
11	14	51
11	15	72
11	16	52
11	17	38
11	18	50
11	19	55
11	20	37
11	21	62
11	22	94
11	23	21
11	24	27
12	13	80
12	14	94
12	15	68
12	16	95
12	17	21
12	18	45
12	19	79
12	20	44
12	21	79
12	22	95
12	23	81
12	24	36
13	14	48
13	15	86
13	16	49
13	17	59
13	18	67
13	19	62
13	20	55
13	21	71
13	22	104
13	23	3
13	24	46
14	15	60
14	16	1
14	17	75
14	18	57
14	19	27
14	20	51
14	21	36
14	22	67
14	23	46
14	24	73
15	16	61
15	17	61
15	18	26
15	19	33
15	20	36
15	21	25
15	22	27
15	23	85
15	24	74
16	17	76
16	18	58
16	19	27
16	20	52
16	21	36
16	22	66
16	23	47
16	24	74
17	18	34
17	19	64
17	20	29
17	21	66
17	22	88
17	23	60
17	24	18
18	19	36
18	20	12
18	21	34
18	22	53
18	23	67
18	24	48
19	20	35
19	21	9
19	22	42
19	23	61
19	24	69
20	21	37
20	22	62
20	23	55
20	24	38
21	22	33
21	23	69
21	24	74
22	23	103
22	24	100
23	24	48
