100 300
1 23 15
1 33 23
1 69 46
1 70 29
1 83 37
1 84 4
1 90 32
2 8 46
2 31 16
2 38 21
2 45 4
2 64 14
2 69 49
3 38 23
3 51 36
3 57 9
3 70 6
3 84 31
3 98 42
4 12 20
4 14 9
4 19 32
4 29 10
4 36 39
4 50 42
4 55 34
4 85 10
4 87 15
5 29 35
5 44 47
5 53 25
5 61 47
5 66 13
5 70 31
6 14 7
6 17 43
6 21 20
6 93 17
6 96 37
7 25 35
7 26 34
7 46 20
7 50 42
8 44 45
8 52 44
8 60 15
8 64 5
8 100 33
9 26 45
9 57 2
9 100 17
10 16 25
10 25 46
10 75 39
10 100 42
11 13 27
11 58 23
11 64 25
11 71 30
11 88 10
11 90 7
12 15 6
12 42 26
12 43 39
12 64 6
12 89 36
13 16 47
13 99 50
14 62 34
14 69 21
14 84 48
14 97 37
15 21 12
15 32 32
15 39 7
15 40 21
15 51 1
15 81 23
16 20 34
16 41 3
16 72 40
16 83 37
16 97 11
17 28 10
17 34 26
17 38 12
17 41 16
17 50 33
17 65 5
17 80 34
17 92 1
18 36 28
18 37 3
18 47 39
18 60 13
18 61 29
18 80 40
18 92 21
18 96 8
18 99 37
19 42 15
19 93 43
20 21 39
20 97 21
21 81 1
21 82 20
21 87 40
22 46 8
22 67 4
22 68 40
22 76 41
22 91 16
23 37 24
24 45 42
24 95 36
25 63 17
25 77 37
26 27 7
26 39 15
26 51 43
26 66 38
26 70 46
26 71 27
26 79 15
26 92 36
26 98 39
26 99 23
27 41 34
27 42 37
27 67 30
27 79 21
27 80 24
27 84 11
27 89 41
28 32 17
28 94 6
29 31 12
29 42 45
29 50 26
29 61 35
29 68 48
29 86 31
29 99 37
30 44 43
30 46 34
30 55 22
30 88 21
31 43 14
31 69 39
31 70 8
31 94 48
32 43 19
33 61 18
33 68 6
33 77 49
34 57 16
34 60 40
34 62 3
35 42 28
35 52 24
35 53 42
35 73 2
35 80 37
35 98 44
36 65 30
36 68 39
36 83 30
36 95 4
37 68 10
37 71 40
37 78 25
37 96 48
38 44 5
38 62 42
38 76 9
39 62 42
39 68 6
39 76 50
40 48 49
40 54 20
40 76 1
40 87 43
40 89 23
41 50 43
41 69 37
41 97 21
42 59 46
42 65 15
42 74 12
42 80 26
43 47 37
43 48 40
43 90 7
44 47 8
44 50 20
44 57 48
44 98 29
45 61 5
45 67 36
45 82 42
45 99 25
45 100 18
46 50 7
46 54 47
46 55 48
46 97 45
47 53 49
47 68 22
47 79 24
47 91 17
47 92 33
48 50 21
48 55 5
48 56 39
48 71 5
48 89 23
49 100 12
50 70 39
50 79 17
51 55 29
51 59 32
51 61 47
51 65 46
51 80 12
51 85 21
51 97 38
52 59 2
52 80 39
52 95 43
53 67 6
53 97 9
54 72 31
54 83 9
54 93 16
54 94 12
55 95 13
56 58 20
56 77 21
56 79 27
57 62 5
57 87 24
57 89 42
57 99 4
58 59 6
58 60 3
58 93 41
58 95 22
59 62 43
59 86 7
59 92 40
59 97 6
60 77 50
61 63 9
61 80 33
61 99 28
62 75 14
62 81 28
62 93 9
63 76 30
63 79 4
63 98 10
64 78 23
64 97 18
66 67 42
66 69 14
66 85 18
66 94 24
66 99 16
66 100 15
67 76 27
67 79 47
67 90 10
68 75 48
68 80 40
69 87 17
69 88 15
70 85 33
70 95 25
71 72 20
71 74 2
73 85 48
73 91 26
74 80 4
74 88 25
75 96 42
76 89 39
76 93 4
76 99 35
77 78 21
77 93 28
77 99 31
80 84 30
80 94 25
84 97 23
85 88 30
85 90 46
86 99 4
87 96 9
93 94 5
96 99 25
